Date,Open,High,Low,Close,Volume
1-Mar-17,59.11,59.99,59.09,59.73,25912728
28-Feb-17,57.99,58.32,57.73,57.88,15558884
27-Feb-17,57.81,58.25,57.71,58.06,10101035
24-Feb-17,57.70,57.91,57.32,57.81,16379051
23-Feb-17,58.43,58.59,58.06,58.49,13841369
22-Feb-17,58.00,58.59,58.00,58.36,12344234
21-Feb-17,58.25,58.63,57.90,58.25,16916750
17-Feb-17,57.58,58.10,57.45,58.09,15783230
16-Feb-17,58.36,58.36,57.51,58.12,14694501
15-Feb-17,58.10,59.00,57.89,58.55,25350371
14-Feb-17,57.13,58.00,56.99,57.98,16382857
13-Feb-17,57.07,57.51,56.89,57.08,15325274
10-Feb-17,57.02,57.04,56.66,56.86,12268103
9-Feb-17,55.98,56.77,55.67,56.73,15907818
8-Feb-17,56.21,56.21,55.16,55.63,18592180
7-Feb-17,56.86,57.19,56.27,56.34,14937421
6-Feb-17,57.08,57.41,56.49,56.55,13940158
3-Feb-17,56.88,57.28,56.43,57.27,19879774
2-Feb-17,55.56,55.96,55.40,55.75,13044449
1-Feb-17,56.54,57.07,55.77,55.91,21157698
31-Jan-17,55.98,56.38,55.80,56.33,22409081
30-Jan-17,56.12,56.32,55.75,56.08,15961389
27-Jan-17,57.03,57.11,56.41,56.59,17186210
26-Jan-17,56.61,57.33,56.59,57.18,23769752
25-Jan-17,55.38,56.83,55.28,56.62,32252075
24-Jan-17,54.36,55.07,54.13,54.70,18523327
23-Jan-17,54.71,55.00,54.15,54.25,17227385
20-Jan-17,54.75,55.11,54.62,55.07,24160823
19-Jan-17,54.24,54.76,53.86,54.58,20906892
18-Jan-17,53.78,54.29,53.34,54.27,21186749
17-Jan-17,54.80,54.96,53.58,53.78,26974416
13-Jan-17,55.11,56.20,54.65,55.31,37231593
12-Jan-17,54.65,54.78,53.90,54.50,20566603
11-Jan-17,54.60,54.80,53.72,54.80,21100589
10-Jan-17,54.35,55.18,54.26,54.62,17978219
9-Jan-17,54.68,54.81,54.18,54.24,21794061
6-Jan-17,55.26,55.57,54.70,55.04,18715908
5-Jan-17,55.49,55.82,54.48,55.18,18831628
4-Jan-17,56.16,56.31,55.61,56.05,15036148
3-Jan-17,55.67,56.35,55.46,56.00,22063790
30-Dec-16,54.89,55.36,54.79,55.11,15095516
29-Dec-16,55.19,55.46,54.48,54.84,15933472
28-Dec-16,55.98,56.08,55.27,55.32,10609110
27-Dec-16,55.90,56.10,55.84,55.95,8893940
23-Dec-16,55.78,55.98,55.62,55.96,8312986
22-Dec-16,55.76,56.03,55.50,55.75,14515521
21-Dec-16,56.09,56.09,55.64,55.71,14058380
20-Dec-16,55.47,56.32,55.15,56.10,19245332
19-Dec-16,55.18,55.47,54.65,55.22,16801429
16-Dec-16,55.49,55.65,54.92,55.34,33171784
15-Dec-16,55.17,56.25,54.90,55.19,31345878
14-Dec-16,54.74,55.62,54.03,54.70,54590640
13-Dec-16,55.85,56.21,55.29,55.84,24355561
12-Dec-16,56.50,57.10,55.55,55.78,27886167
9-Dec-16,56.91,57.24,56.49,57.14,20331186
8-Dec-16,57.29,58.02,56.71,57.29,39828604
7-Dec-16,55.55,57.29,55.23,57.28,46616968
6-Dec-16,54.45,55.57,54.22,55.55,30706669
5-Dec-16,53.90,54.53,53.87,54.35,24793902
2-Dec-16,54.24,54.27,53.31,53.58,21894686
1-Dec-16,53.13,54.47,53.06,54.34,35623052
